time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
4.3,-0.00031733032595726574,0.0022104858886093093,0.001279002265943019,-0.10870048036692946,-0.027115545848628277,-0.026968449460031636
4.3100000000000005,-0.00030967970644019127,0.0021537823000201545,0.0012461869156264321,-0.10870357716399387,-0.027094008025628075,-0.026955987590875374
4.32,-0.0003022135505847956,0.0020985317623317123,0.0012142129995015571,-0.10870659929949972,-0.027073022708004758,-0.02694384546088036
4.33,-9.352522430916554e-05,0.0017020159130789192,0.0020869267671538017,-0.10870753455174281,-0.02705600254887397,-0.02692297619320882
4.34,-9.127040417428178e-05,0.0016583522358149944,0.002033379706623595,-0.10870844725578456,-0.02703941902651582,-0.026902642396142585
4.3500000000000005,-8.906994706942006e-05,0.0016158078112789714,0.0019812052177603234,-0.10870933795525525,-0.02702326094840303,-0.02688283034396498
4.36,-8.692254226705387e-05,0.0015743539943339907,0.0019303681855488974,-0.10871020718067792,-0.02700751740845969,-0.02686352666210949
4.37,-0.0005122638833089943,0.0013868234055373768,0.0027656832154416555,-0.10871532981951101,-0.02699364917440432,-0.026835869829955075
4.38,-0.0004999136383529446,0.0013512428432770895,0.002694712892766002,-0.10872032895589455,-0.026980136745971547,-0.026808922701027416
4.39,-0.00048786117957139163,0.0013165745435583937,0.002625561355062131,-0.10872520756769026,-0.026966971000535963,-0.026782667087476793
4.4,-0.0012133261864273326,0.0010070244070298634,0.003801990071163233,-0.10873734082955454,-0.026956900756465663,-0.02674464718676516
4.41,-0.0011840742145143857,0.000981186769837633,0.0037044164065791058,-0.10874918157169969,-0.026947088888767286,-0.026707603022699367
4.42,-0.001155527657002886,0.00095601174385887,0.0036093423343829395,-0.10876073684826972,-0.026937528771328698,-0.026671509599355537
4.43,-0.0005535824721481508,7.764261273644768e-05,0.004285572401475146,-0.1087662726729912,-0.026936752345201334,-0.026628653875340785
4.44,-0.000540236429931118,7.565044215265826e-05,0.004175572309666684,-0.10877167503729052,-0.026935995840779808,-0.026586898152244118
4.45,-0.0005272121784748451,7.370938522602288e-05,0.004068389886600618,-0.10877694715907527,-0.026935258746927548,-0.026546214253378112
4.46,-0.0005145019571798359,7.181813061477027e-05,0.003963953243902016,-0.10878209217864707,-0.0269345405656214,-0.02650657472093909
4.47,-0.0005080565387977076,-0.0005936219032108975,0.00400648638974456,-0.10878717274403504,-0.02694047678465351,-0.026466509857041645
4.48,-0.0004958081955138693,-0.0005783906339041078,0.0039036283413116935,-0.10879213082599018,-0.02694626069099255,-0.026427473573628527
4.49,-0.00048385516986060306,-0.0005635502812630644,0.003803405898161194,-0.10879696937768879,-0.026951896193805183,-0.026389439514646916
4.5,-0.000549957389922584,-0.0010281027057733177,0.0033741927050889298,-0.10880246895158802,-0.026962177220862915,-0.026355697587596028
4.51,-0.0005366989972445113,-0.0010017240910778907,0.0032875548486032274,-0.10880783594156046,-0.026972194461773694,-0.026322822039109996
4.5200000000000005,-0.0005237602755984172,-0.0009760226163961772,0.003203137962317512,-0.10881307354431645,-0.026981954687937654,-0.02629079065948682
4.53,0.00045420591662692633,-0.0018914397919221199,0.0028789263669550397,-0.10880853148515018,-0.027000869085856874,-0.02626200139581727
4.54,0.00044325596819122515,-0.0018429121504732332,0.0028049961731462653,-0.10880409892546827,-0.027019298207361608,-0.026233951434085807
4.55,0.00043256997457258306,-0.001795630668539397,0.002732961865682587,-0.10879977322572255,-0.027037254514047003,-0.02620662181542898
4.5600000000000005,0.0004221415741967327,-0.0017495632887301743,0.0026627749573265302,-0.10879555180998059,-0.027054750146934304,-0.026179994065855715
4.57,0.0010618137202503264,-0.0021332936214380344,0.0020763671578713505,-0.10878493367277808,-0.027076083083148683,-0.026159230394277002
4.58,0.0010362153481769387,-0.002078565967262455,0.002023039199876217,-0.10877457151929631,-0.027096868742821308,-0.02613900000227824
4.59,0.001011233966918712,-0.0020252437121399958,0.0019710795108832946,-0.10876445917962713,-0.027117121179942708,-0.026119289207169407
4.6000000000000005,0.0008529646748644537,-0.0008012530394976847,0.00021111312391941528,-0.10875592953287848,-0.027125133710337684,-0.02611717807593021
4.61,0.0008324009412019051,-0.0007806990811292658,0.0002056906842850259,-0.10874760552346646,-0.027132940701148977,-0.02611512116908736
4.62,0.0008123328795912044,-0.0007606725774111645,0.00020040750582200895,-0.10873948219467056,-0.027140547426923088,-0.02611311709402914
4.63,0.0015028471989478875,2.327924372942658e-05,-0.00171597777538883,-0.10872445372268108,-0.027140314634485792,-0.02613027687178303
4.64,0.0014666152042945302,2.268209278956379e-05,-0.0016719030903473153,-0.10870978757063814,-0.0271400878135579,-0.0261469959026865
4.65,0.001431256445143636,2.2100259586835258e-05,-0.0016289613939728248,-0.1086954750061867,-0.02713986681096203,-0.02616328551662623
4.66,0.0013967498886737761,2.1533351208871676e-05,-0.0015871235137317752,-0.10868150750729996,-0.02713965147744994,-0.026179156751763546
4.67,0.0009576996003655691,0.0010592941195233796,-0.0025502555292389456,-0.10867193051129631,-0.02712905853625471,-0.026204659307055934
4.68,0.000934609839526479,0.0010321212734820118,-0.0024847584306414428,-0.10866258441290104,-0.02711873732351989,-0.026229506891362348
4.69,0.000912076650780802,0.001005645113258291,-0.0024209455280602282,-0.10865346364639324,-0.027108680872387304,-0.02625371634664295
4.7,0.0011344381057049602,0.0015918668224769034,-0.0024105730925983587,-0.10864211926533619,-0.027092762204162537,-0.026277822077568933
4.71,0.0011070868297503589,0.001551030779702478,-0.0023486692642904067,-0.10863104839703869,-0.027077251896365513,-0.026301308770211838
4.72,0.0010803948338817815,0.001511241514910222,-0.0022883569737563586,-0.10862024444869987,-0.02706213948121641,-0.0263241923399494
4.73,0.0006989499445315683,0.0019502561361502413,-0.0016267432030405843,-0.10861325494925456,-0.027042636919854906,-0.026340459771979807
4.74,0.000682098000635345,0.0019002233175126337,-0.0015849717890805276,-0.1086064339692482,-0.02702363468667978,-0.02635630948987061
4.75,0.0006656523032028683,0.00185147288386793,-0.0015442738153468721,-0.10859977744621617,-0.027005119957841103,-0.02637175222802408
4.76,0.000649603061796733,0.0018039720259000191,-0.0015046216539111174,-0.10859328141559821,-0.026987080237582103,-0.02638679844456319
4.7700000000000005,0.000894707776340431,0.002454658310270308,-0.0001620597598045309,-0.1085843343378348,-0.0269625336544794,-0.026388419042161236
4.78,0.0008731357186009259,0.0023916791597557024,-0.00015789869331071793,-0.10857560298064879,-0.026938616862881844,-0.026389998029094343
4.79,0.0008520836802800025,0.002330313989867633,-0.00015384447516690603,-0.10856708214384599,-0.02691531372298317,-0.02639153647384601
4.8,0.0007201619184322716,0.0024719037569067848,0.0009924435492740247,-0.10855988052466166,-0.0268905946854141,-0.02638161203835327
4.8100000000000005,0.0007027980556353342,0.0024084763904328593,0.0009669614119049152,-0.10855285254410531,-0.02686650992150977,-0.026371942424234223
4.82,0.0006858527899498146,0.0023466746221703916,0.0009421332469486399,-0.10854599401620581,-0.02684304317528807,-0.026362521091764738
4.83,0.0005309191903712929,0.0030649053476036053,0.002516849648707409,-0.1085406848243021,-0.026812394121812032,-0.026337352595277665
4.84,0.0005181180324758117,0.0029862544860159573,0.0024522235914945373,-0.10853550364397734,-0.026782531576951873,-0.02631283035936272
4.8500000000000005,0.0005056254925397963,0.002909619009848055,0.0023892549586833484,-0.10853044738905193,-0.026753435386853392,-0.026288937809775887
